id,name,wkt
125,25152,"POLYGON((528945.957 5073477.0,528976.066 5073411.0,528957.007 5073390.0,528953.906 5073388.0,528907.49 5073390.0,528883.513 5073456.0,528944.905 5073478.0,528945.957 5073477.0))"
126,25153,"POLYGON((528883.513 5073456.0,528907.49 5073390.0,528893.621 5073382.0,528852.168 5073379.0,528825.224 5073442.0,528860.438 5073467.0,528883.513 5073456.0))"
127,25154,"POLYGON((528825.224 5073442.0,528852.168 5073379.0,528826.753 5073351.0,528758.367 5073419.0,528760.715 5073423.0,528780.597 5073438.0,528799.349 5073445.0,528799.965 5073445.0,528825.224 5073442.0))"
128,25155,"POLYGON((528826.753 5073351.0,528816.459 5073310.426,528723.908 5073384.0,528743.056 5073408.0,528758.367 5073419.0,528826.753 5073351.0))"
129,25156,"POLYGON((528812.477 5073287.331,528698.593 5073343.078,528723.268 5073383.0,528723.908 5073384.0,528816.459 5073310.426))"
130,25157,"POLYGON((528823.627 5073233.176,528827.608 5073198.135,528677.09 5073124.07,528622.936 5073163.89,528702.575 5073255.475,528661.959 5073284.145,528698.593 5073342.282,528817.255 5073284.942))"
131,25158,"POLYGON((528944.905 5073478.0,528883.513 5073456.0,528860.438 5073467.0,528859.73 5073501.0,528932.147 5073512.0,528944.905 5073478.0))"
132,25159,"POLYGON((529013.617 5073554.0,529019.083 5073546.0,528996.123 5073503.0,528945.957 5073477.0,528944.905 5073478.0,528932.147 5073512.0,528972.552 5073549.344,528983.701 5073569.254,529013.617 5073554.0))"
133,25160,"POLYGON((529153.901 5074024.0,529115.002 5074019.0,529119.902 5074050.0,529130.793 5074065.0,529140.942 5074071.0,529153.901 5074024.0))"
134,25161,"POLYGON((529213.408 5074009.0,529186.138 5073973.0,529183.788 5073971.0,529107.035 5074005.0,529115.002 5074019.0,529153.901 5074024.0,529216.035 5074028.0,529213.408 5074009.0))"
